"address","file","variable","description"
"$4a","cursor.inc","mbutton",
"$4b","cursor.inc","ombutton",
"$52","cursor.inc","_mx",
"$53","cursor.inc","_my",
"$55","cursor.inc","mx",
"$54","cursor.inc","my",
"$5b","cursor.inc","mdx",
"$5a","cursor.inc","mdy",
"$5c","cursor.inc","mRefresh",
"$5d","cursor.inc","mAllowKeys",
"$50","interface.inc","szone",
"$51","interface.inc","ozone",
"$57","interface.inc","nzone",

"$fa","put-text.inc","putText.sptr",
"$3e","SIED.pas","i",
"$400","module-disk.inc","dev[4]",
"$405","module-disk.inc","fn[16]",
"$416","module-disk.inc","_fn[20]",
"$500","interface.inc","_mZoneActive[32]",
"$520","interface.inc","_mZoneX1[32]",
"$540","interface.inc","_mZoneY1[32]",
"$560","interface.inc","_mZoneX2[32]",
"$580","interface.inc","_mZoneY2[32]",
"$5a0","interface.inc","_mZoneCall[32]","Pointer"
"$600","graph.inc","YSCR[128]","Pointer"
,,,
